"results__id","results__createdAt","results__updatedAt","results__displayName","results__name","results__boundaryId","results__theme__thumb","results__theme__image","results__theme__background","results__data","meta__results","meta__total"
"tor-ca","2018-11-15T03:53:06.026Z","2019-01-29T20:24:02.267Z","Toronto","Toronto, ON","can-on-toronto-city","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_512,w_640/https://i.imgur.com/VAjZHTy.jpg","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_1024,w_1280/https://i.imgur.com/VAjZHTy.jpg","https://res.cloudinary.com/stae/image/fetch/c_limit,e_saturation:-100,f_png,h_600,w_1360/https://i.imgur.com/VAjZHTy.jpg","86887","",""
"mo","2018-11-10T14:43:34.393Z","2019-01-29T20:23:55.586Z","Missouri","State of Missouri","usa-mo-missouri-state","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_512,w_640/https://flaglane.com/download/missouri-flag/missouri-flag-large.png","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_1024,w_1280/https://flaglane.com/download/missouri-flag/missouri-flag-large.png","https://res.cloudinary.com/stae/image/fetch/c_limit,e_saturation:-100,f_png,h_600,w_1360/https://flaglane.com/download/missouri-flag/missouri-flag-large.png","191296","",""
"col-oh","2018-07-26T21:35:01.520Z","2019-01-29T20:23:57.277Z","Columbus","Columbus, OH","usa-oh-columbus-city","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_512,w_640/https://i.imgur.com/kIgRYg7.jpg","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_1024,w_1280/https://i.imgur.com/kIgRYg7.jpg","https://res.cloudinary.com/stae/image/fetch/c_limit,e_saturation:-100,f_png,h_600,w_1360/https://i.imgur.com/kIgRYg7.jpg","30197","",""
"sat-tx","2018-11-06T21:59:59.888Z","2019-01-29T20:23:58.929Z","San Antonio","San Antonio, TX","usa-tx-san-antonio-city","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_512,w_640/https://i.imgur.com/qnihJLF.jpg","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_1024,w_1280/https://i.imgur.com/qnihJLF.jpg","https://res.cloudinary.com/stae/image/fetch/c_limit,e_saturation:-100,f_png,h_600,w_1360/https://i.imgur.com/qnihJLF.jpg","32109","",""
"lex-ky","2018-11-10T14:43:34.512Z","2019-01-29T20:23:59.381Z","Lexington","Lexington, KY","usa-ky-lexington-fayette-city","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_512,w_640/https://i.imgur.com/wQuZzeh.jpg","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_1024,w_1280/https://i.imgur.com/wQuZzeh.jpg","https://res.cloudinary.com/stae/image/fetch/c_limit,e_saturation:-100,f_png,h_600,w_1360/https://i.imgur.com/wQuZzeh.jpg","5160","",""
"bos-ma","2018-11-10T14:43:34.512Z","2019-01-29T20:23:59.673Z","Boston","Boston, MA","usa-ma-boston-city","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_512,w_640/https://i.imgur.com/3rbAT3c.jpg","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_1024,w_1280/https://i.imgur.com/3rbAT3c.jpg","https://res.cloudinary.com/stae/image/fetch/c_limit,e_saturation:-100,f_png,h_600,w_1360/https://i.imgur.com/3rbAT3c.jpg","21645","",""
"tol-oh","2018-11-10T14:43:34.541Z","2019-01-29T20:24:00.570Z","Toledo","Toledo, OH","usa-oh-toledo-city","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_512,w_640/https://i.imgur.com/OpDhxrY.jpg","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_1024,w_1280/https://i.imgur.com/OpDhxrY.jpg","https://res.cloudinary.com/stae/image/fetch/c_limit,e_saturation:-100,f_png,h_600,w_1360/https://i.imgur.com/OpDhxrY.jpg","17091","",""
"mt","2018-11-10T14:43:34.393Z","2019-01-29T20:23:55.599Z","Montana","State of Montana","usa-mt-montana-state","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_512,w_640/https://flaglane.com/download/montana-flag/montana-flag-large.png","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_1024,w_1280/https://flaglane.com/download/montana-flag/montana-flag-large.png","https://res.cloudinary.com/stae/image/fetch/c_limit,e_saturation:-100,f_png,h_600,w_1360/https://flaglane.com/download/montana-flag/montana-flag-large.png","51035","",""
"sob-in","2018-11-10T14:43:34.503Z","2019-01-29T20:23:59.079Z","South Bend","South Bend, IN","usa-in-south-bend-city","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_512,w_640/https://i.imgur.com/Wl90NPd.jpg","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_1024,w_1280/https://i.imgur.com/Wl90NPd.jpg","https://res.cloudinary.com/stae/image/fetch/c_limit,e_saturation:-100,f_png,h_600,w_1360/https://i.imgur.com/Wl90NPd.jpg","2194","",""
"blo-in","2018-11-10T14:43:34.503Z","2019-01-29T20:23:59.338Z","Bloomington","Bloomington, IN","usa-in-bloomington-city","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_512,w_640/https://i.imgur.com/BYL23pn.jpg","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_1024,w_1280/https://i.imgur.com/BYL23pn.jpg","https://res.cloudinary.com/stae/image/fetch/c_limit,e_saturation:-100,f_png,h_600,w_1360/https://i.imgur.com/BYL23pn.jpg","1863","",""
