"results__id","results__createdAt","results__updatedAt","results__displayName","results__name","results__boundaryId","results__theme__thumb","results__theme__image","results__theme__background","results__data","meta__results","meta__total"
"tem-az","2019-01-29T04:41:55.337Z","2019-01-29T20:24:01.490Z","Tempe","Tempe, AZ","usa-az-tempe-city","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_512,w_640/https://i.imgur.com/DQHCmEc.jpg","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_1024,w_1280/https://i.imgur.com/DQHCmEc.jpg","https://res.cloudinary.com/stae/image/fetch/c_limit,e_saturation:-100,f_png,h_600,w_1360/https://i.imgur.com/DQHCmEc.jpg","199319","",""
"ia","2018-11-10T14:43:34.372Z","2019-01-29T20:23:55.191Z","Iowa","State of Iowa","usa-ia-iowa-state","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_512,w_640/https://flaglane.com/download/iowa-flag/iowa-flag-large.png","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_1024,w_1280/https://flaglane.com/download/iowa-flag/iowa-flag-large.png","https://res.cloudinary.com/stae/image/fetch/c_limit,e_saturation:-100,f_png,h_600,w_1360/https://flaglane.com/download/iowa-flag/iowa-flag-large.png","68511","",""
"vt","2018-11-10T14:43:34.439Z","2019-01-29T20:23:56.830Z","Vermont","State of Vermont","usa-vt-vermont-state","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_512,w_640/https://flaglane.com/download/vermont-flag/vermont-flag-large.png","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_1024,w_1280/https://flaglane.com/download/vermont-flag/vermont-flag-large.png","https://res.cloudinary.com/stae/image/fetch/c_limit,e_saturation:-100,f_png,h_600,w_1360/https://flaglane.com/download/vermont-flag/vermont-flag-large.png","19303","",""
"gil-az","2019-01-29T04:41:55.691Z","2019-01-29T20:24:01.237Z","Gilbert","Gilbert, AZ","usa-az-gilbert-city","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_512,w_640/https://i.imgur.com/5mjE4w9.jpg","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_1024,w_1280/https://i.imgur.com/5mjE4w9.jpg","https://res.cloudinary.com/stae/image/fetch/c_limit,e_saturation:-100,f_png,h_600,w_1360/https://i.imgur.com/5mjE4w9.jpg","40077","",""
"gdl-az","2019-01-28T19:24:24.353Z","2019-01-29T20:24:02.648Z","Glendale","Glendale, AZ","usa-az-glendale-city","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_512,w_640/https://i.imgur.com/w5A1Mli.jpg","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_1024,w_1280/https://i.imgur.com/w5A1Mli.jpg","https://res.cloudinary.com/stae/image/fetch/c_limit,e_saturation:-100,f_png,h_600,w_1360/https://i.imgur.com/w5A1Mli.jpg","5049","",""
"ak","2018-11-10T14:43:34.338Z","2019-01-29T20:23:54.589Z","Alaska","State of Alaska","usa-ak-alaska-state","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_512,w_640/https://flaglane.com/download/alaska-flag/alaska-flag-large.png","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_1024,w_1280/https://flaglane.com/download/alaska-flag/alaska-flag-large.png","https://res.cloudinary.com/stae/image/fetch/c_limit,e_saturation:-100,f_png,h_600,w_1360/https://flaglane.com/download/alaska-flag/alaska-flag-large.png","135274","",""
"de","2018-11-10T14:43:34.357Z","2019-01-29T20:23:54.773Z","Delaware","State of Delaware","usa-de-delaware-state","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_512,w_640/https://flaglane.com/download/delaware-flag/delaware-flag-large.png","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_1024,w_1280/https://flaglane.com/download/delaware-flag/delaware-flag-large.png","https://res.cloudinary.com/stae/image/fetch/c_limit,e_saturation:-100,f_png,h_600,w_1360/https://flaglane.com/download/delaware-flag/delaware-flag-large.png","29859","",""
"ca","2018-07-26T21:35:01.915Z","2019-01-29T20:23:54.701Z","California","State of California","usa-ca-california-state","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_512,w_640/https://flaglane.com/download/california-flag/california-flag-large.png","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_1024,w_1280/https://flaglane.com/download/california-flag/california-flag-large.png","https://res.cloudinary.com/stae/image/fetch/c_limit,e_saturation:-100,f_png,h_600,w_1360/https://flaglane.com/download/california-flag/california-flag-large.png","7531138","",""
"fl","2018-07-26T21:35:01.798Z","2019-01-29T20:23:54.781Z","Florida","State of Florida","usa-fl-florida-state","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_512,w_640/https://flaglane.com/download/florida-flag/florida-flag-large.png","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_1024,w_1280/https://flaglane.com/download/florida-flag/florida-flag-large.png","https://res.cloudinary.com/stae/image/fetch/c_limit,e_saturation:-100,f_png,h_600,w_1360/https://flaglane.com/download/florida-flag/florida-flag-large.png","4454610","",""
"or","2018-11-10T14:43:34.428Z","2019-01-29T20:23:56.530Z","Oregon","State of Oregon","usa-or-oregon-state","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_512,w_640/https://flaglane.com/download/oregon-flag/oregon-flag-large.png","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_1024,w_1280/https://flaglane.com/download/oregon-flag/oregon-flag-large.png","https://res.cloudinary.com/stae/image/fetch/c_limit,e_saturation:-100,f_png,h_600,w_1360/https://flaglane.com/download/oregon-flag/oregon-flag-large.png","620063","",""
"ut","2018-11-10T14:43:34.439Z","2019-01-29T20:23:56.915Z","Utah","State of Utah","usa-ut-utah-state","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_512,w_640/https://flaglane.com/download/utah-flag/utah-flag-large.png","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_1024,w_1280/https://flaglane.com/download/utah-flag/utah-flag-large.png","https://res.cloudinary.com/stae/image/fetch/c_limit,e_saturation:-100,f_png,h_600,w_1360/https://flaglane.com/download/utah-flag/utah-flag-large.png","516953","",""
"ral-nc","2018-11-10T14:43:34.541Z","2019-01-29T20:24:00.480Z","Raleigh","Raleigh, NC","usa-nc-raleigh-city","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_512,w_640/https://i.imgur.com/6iIT2NT.jpg","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_1024,w_1280/https://i.imgur.com/6iIT2NT.jpg","https://res.cloudinary.com/stae/image/fetch/c_limit,e_saturation:-100,f_png,h_600,w_1360/https://i.imgur.com/6iIT2NT.jpg","16783","",""
"anc-ak","2018-11-10T20:05:48.487Z","2019-01-29T20:24:01.462Z","Anchorage","Anchorage, AK","usa-ak-anchorage-city","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_512,w_640/https://i.imgur.com/eO5Csrr.jpg","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_1024,w_1280/https://i.imgur.com/eO5Csrr.jpg","https://res.cloudinary.com/stae/image/fetch/c_limit,e_saturation:-100,f_png,h_600,w_1360/https://i.imgur.com/eO5Csrr.jpg","7124","",""
"mesa-az","2019-01-29T04:41:56.514Z","2019-01-29T20:24:02.646Z","Mesa","Mesa, AZ","usa-az-mesa-city","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_512,w_640/https://i.imgur.com/HWDyi6B.jpg","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_1024,w_1280/https://i.imgur.com/HWDyi6B.jpg","https://res.cloudinary.com/stae/image/fetch/c_limit,e_saturation:-100,f_png,h_600,w_1360/https://i.imgur.com/HWDyi6B.jpg","296522","",""
"co","2018-07-26T21:35:01.519Z","2019-01-29T20:23:54.738Z","Colorado","State of Colorado","usa-co-colorado-state","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_512,w_640/https://flaglane.com/download/colorado-flag/colorado-flag-large.png","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_1024,w_1280/https://flaglane.com/download/colorado-flag/colorado-flag-large.png","https://res.cloudinary.com/stae/image/fetch/c_limit,e_saturation:-100,f_png,h_600,w_1360/https://flaglane.com/download/colorado-flag/colorado-flag-large.png","188428","",""
"ga","2018-10-12T01:18:01.683Z","2019-01-29T20:23:54.967Z","Georgia","State of Georgia","usa-ga-georgia-state","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_512,w_640/https://flaglane.com/download/georgia-flag/georgia-flag-large.png","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_1024,w_1280/https://flaglane.com/download/georgia-flag/georgia-flag-large.png","https://res.cloudinary.com/stae/image/fetch/c_limit,e_saturation:-100,f_png,h_600,w_1360/https://flaglane.com/download/georgia-flag/georgia-flag-large.png","363163","",""
"hi","2018-11-10T14:43:34.357Z","2019-01-29T20:23:55.028Z","Hawaii","State of Hawaii","usa-hi-hawaii-state","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_512,w_640/https://flaglane.com/download/hawaii-flag/hawaii-flag-large.png","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_1024,w_1280/https://flaglane.com/download/hawaii-flag/hawaii-flag-large.png","https://res.cloudinary.com/stae/image/fetch/c_limit,e_saturation:-100,f_png,h_600,w_1360/https://flaglane.com/download/hawaii-flag/hawaii-flag-large.png","49288","",""
"ok","2018-11-10T14:43:34.415Z","2019-01-29T20:23:56.180Z","Oklahoma","State of Oklahoma","usa-ok-oklahoma-state","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_512,w_640/https://flaglane.com/download/oklahoma-flag/oklahoma-flag-large.png","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_1024,w_1280/https://flaglane.com/download/oklahoma-flag/oklahoma-flag-large.png","https://res.cloudinary.com/stae/image/fetch/c_limit,e_saturation:-100,f_png,h_600,w_1360/https://flaglane.com/download/oklahoma-flag/oklahoma-flag-large.png","101072","",""
"ri","2018-08-31T23:24:57.568Z","2019-01-29T20:23:56.330Z","Rhode Island","State of Rhode Island","usa-ri-rhode-island-state","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_512,w_640/https://flaglane.com/download/rhode-island-flag/rhode-island-flag-large.png","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_1024,w_1280/https://flaglane.com/download/rhode-island-flag/rhode-island-flag-large.png","https://res.cloudinary.com/stae/image/fetch/c_limit,e_saturation:-100,f_png,h_600,w_1360/https://flaglane.com/download/rhode-island-flag/rhode-island-flag-large.png","20046","",""
"boul-co","2018-11-10T20:05:48.541Z","2019-01-29T20:24:01.770Z","Boulder","Boulder, CO","usa-co-boulder-city","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_512,w_640/https://i.imgur.com/cEYhgQK.jpg","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_1024,w_1280/https://i.imgur.com/cEYhgQK.jpg","https://res.cloudinary.com/stae/image/fetch/c_limit,e_saturation:-100,f_png,h_600,w_1360/https://i.imgur.com/cEYhgQK.jpg","4032","",""
"ar","2018-11-10T14:43:34.346Z","2019-01-29T20:23:54.597Z","Arkansas","State of Arkansas","usa-ar-arkansas-state","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_512,w_640/https://flaglane.com/download/arkansas-flag/arkansas-flag-large.png","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_1024,w_1280/https://flaglane.com/download/arkansas-flag/arkansas-flag-large.png","https://res.cloudinary.com/stae/image/fetch/c_limit,e_saturation:-100,f_png,h_600,w_1360/https://flaglane.com/download/arkansas-flag/arkansas-flag-large.png","44731","",""
"id","2018-11-10T14:43:34.371Z","2019-01-29T20:23:55.048Z","Idaho","State of Idaho","usa-id-idaho-state","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_512,w_640/https://flaglane.com/download/idaho-flag/idaho-flag-large.png","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_1024,w_1280/https://flaglane.com/download/idaho-flag/idaho-flag-large.png","https://res.cloudinary.com/stae/image/fetch/c_limit,e_saturation:-100,f_png,h_600,w_1360/https://flaglane.com/download/idaho-flag/idaho-flag-large.png","61597","",""
"ks","2018-11-10T14:43:34.372Z","2019-01-29T20:23:55.332Z","Kansas","State of Kansas","usa-ks-kansas-state","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_512,w_640/https://flaglane.com/download/kansas-flag/kansas-flag-large.png","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_1024,w_1280/https://flaglane.com/download/kansas-flag/kansas-flag-large.png","https://res.cloudinary.com/stae/image/fetch/c_limit,e_saturation:-100,f_png,h_600,w_1360/https://flaglane.com/download/kansas-flag/kansas-flag-large.png","85982","",""
"il","2018-11-10T14:43:34.372Z","2019-01-29T20:23:54.965Z","Illinois","State of Illinois","usa-il-illinois-state","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_512,w_640/https://flaglane.com/download/illinois-flag/illinois-flag-large.png","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_1024,w_1280/https://flaglane.com/download/illinois-flag/illinois-flag-large.png","https://res.cloudinary.com/stae/image/fetch/c_limit,e_saturation:-100,f_png,h_600,w_1360/https://flaglane.com/download/illinois-flag/illinois-flag-large.png","12570948","",""
"md","2018-11-10T14:43:34.381Z","2019-01-29T20:23:55.388Z","Maryland","State of Maryland","usa-md-maryland-state","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_512,w_640/https://flaglane.com/download/maryland-flag/maryland-flag-large.png","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_1024,w_1280/https://flaglane.com/download/maryland-flag/maryland-flag-large.png","https://res.cloudinary.com/stae/image/fetch/c_limit,e_saturation:-100,f_png,h_600,w_1360/https://flaglane.com/download/maryland-flag/maryland-flag-large.png","7830845","",""
"nc","2018-11-10T14:43:34.414Z","2019-01-29T20:23:56.023Z","North Carolina","State of North Carolina","usa-nc-north-carolina-state","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_512,w_640/https://flaglane.com/download/north-carolina-flag/north-carolina-flag-large.png","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_1024,w_1280/https://flaglane.com/download/north-carolina-flag/north-carolina-flag-large.png","https://res.cloudinary.com/stae/image/fetch/c_limit,e_saturation:-100,f_png,h_600,w_1360/https://flaglane.com/download/north-carolina-flag/north-carolina-flag-large.png","690555","",""
"orl-fl","2018-11-10T20:05:48.611Z","2019-01-29T20:24:02.117Z","Orlando","Orlando, FL","usa-fl-orlando-city","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_512,w_640/https://i.imgur.com/4IMdlrV.jpg","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_1024,w_1280/https://i.imgur.com/4IMdlrV.jpg","https://res.cloudinary.com/stae/image/fetch/c_limit,e_saturation:-100,f_png,h_600,w_1360/https://i.imgur.com/4IMdlrV.jpg","21407","",""
"nm","2018-11-10T14:43:34.405Z","2019-01-29T20:23:56.111Z","New Mexico","State of New Mexico","usa-nm-new-mexico-state","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_512,w_640/https://flaglane.com/download/new-mexico-flag/new-mexico-flag-large.png","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_1024,w_1280/https://flaglane.com/download/new-mexico-flag/new-mexico-flag-large.png","https://res.cloudinary.com/stae/image/fetch/c_limit,e_saturation:-100,f_png,h_600,w_1360/https://flaglane.com/download/new-mexico-flag/new-mexico-flag-large.png","93684","",""
"bra","2018-11-10T14:43:34.584Z","2019-01-29T20:24:03.448Z","Brazil","Brazil","bra","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_512,w_640/https://flaglane.com/download/brazilian-flag/brazilian-flag-large.png","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_1024,w_1280/https://flaglane.com/download/brazilian-flag/brazilian-flag-large.png","https://res.cloudinary.com/stae/image/fetch/c_limit,e_saturation:-100,f_png,h_600,w_1360/https://flaglane.com/download/brazilian-flag/brazilian-flag-large.png","47294","",""
"al","2018-11-10T14:43:34.321Z","2019-01-29T20:23:54.575Z","Alabama","State of Alabama","usa-al-alabama-state","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_512,w_640/https://flaglane.com/download/alabama-flag/alabama-flag-large.png","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_1024,w_1280/https://flaglane.com/download/alabama-flag/alabama-flag-large.png","https://res.cloudinary.com/stae/image/fetch/c_limit,e_saturation:-100,f_png,h_600,w_1360/https://flaglane.com/download/alabama-flag/alabama-flag-large.png","85451","",""
"in","2018-11-10T14:43:34.372Z","2019-01-29T20:23:54.975Z","Indiana","State of Indiana","usa-in-indiana-state","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_512,w_640/https://flaglane.com/download/indiana-flag/indiana-flag-large.png","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_1024,w_1280/https://flaglane.com/download/indiana-flag/indiana-flag-large.png","https://res.cloudinary.com/stae/image/fetch/c_limit,e_saturation:-100,f_png,h_600,w_1360/https://flaglane.com/download/indiana-flag/indiana-flag-large.png","178918","",""
"la","2018-11-10T14:43:34.381Z","2019-01-29T20:23:55.328Z","Louisiana","State of Louisiana","usa-la-louisiana-state","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_512,w_640/https://flaglane.com/download/louisiana-flag/louisiana-flag-large.png","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_1024,w_1280/https://flaglane.com/download/louisiana-flag/louisiana-flag-large.png","https://res.cloudinary.com/stae/image/fetch/c_limit,e_saturation:-100,f_png,h_600,w_1360/https://flaglane.com/download/louisiana-flag/louisiana-flag-large.png","104133","",""
"tn","2018-11-10T14:43:34.439Z","2019-01-29T20:23:56.530Z","Tennessee","State of Tennessee","usa-tn-tennessee-state","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_512,w_640/https://flaglane.com/download/tennessee-flag/tennessee-flag-large.png","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_1024,w_1280/https://flaglane.com/download/tennessee-flag/tennessee-flag-large.png","https://res.cloudinary.com/stae/image/fetch/c_limit,e_saturation:-100,f_png,h_600,w_1360/https://flaglane.com/download/tennessee-flag/tennessee-flag-large.png","164283","",""
"zaf","2018-11-28T23:54:22.919Z","2019-01-29T20:24:03.387Z","South Africa","South Africa","zaf","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_512,w_640/https://flaglane.com/download/south-african-flag/south-african-flag-large.png","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_1024,w_1280/https://flaglane.com/download/south-african-flag/south-african-flag-large.png","https://res.cloudinary.com/stae/image/fetch/c_limit,e_saturation:-100,f_png,h_600,w_1360/https://flaglane.com/download/south-african-flag/south-african-flag-large.png","621","",""
"ky","2018-11-10T14:43:34.380Z","2019-01-29T20:23:55.218Z","Kentucky","State of Kentucky","usa-ky-kentucky-state","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_512,w_640/https://flaglane.com/download/kentucky-flag/kentucky-flag-large.png","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_1024,w_1280/https://flaglane.com/download/kentucky-flag/kentucky-flag-large.png","https://res.cloudinary.com/stae/image/fetch/c_limit,e_saturation:-100,f_png,h_600,w_1360/https://flaglane.com/download/kentucky-flag/kentucky-flag-large.png","2036865","",""
"ms","2018-11-10T14:43:34.393Z","2019-01-29T20:23:55.733Z","Mississippi","State of Mississippi","usa-ms-mississippi-state","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_512,w_640/https://flaglane.com/download/mississippi-flag/mississippi-flag-large.png","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_1024,w_1280/https://flaglane.com/download/mississippi-flag/mississippi-flag-large.png","https://res.cloudinary.com/stae/image/fetch/c_limit,e_saturation:-100,f_png,h_600,w_1360/https://flaglane.com/download/mississippi-flag/mississippi-flag-large.png","53349","",""
"nv","2018-11-10T14:43:34.404Z","2019-01-29T20:23:55.834Z","Nevada","State of Nevada","usa-nv-nevada-state","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_512,w_640/https://flaglane.com/download/nevada-flag/nevada-flag-large.png","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_1024,w_1280/https://flaglane.com/download/nevada-flag/nevada-flag-large.png","https://res.cloudinary.com/stae/image/fetch/c_limit,e_saturation:-100,f_png,h_600,w_1360/https://flaglane.com/download/nevada-flag/nevada-flag-large.png","111666","",""
"me","2018-11-10T14:43:34.381Z","2019-01-29T20:23:55.368Z","Maine","State of Maine","usa-me-maine-state","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_512,w_640/https://flaglane.com/download/maine-flag/maine-flag-large.png","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_1024,w_1280/https://flaglane.com/download/maine-flag/maine-flag-large.png","https://res.cloudinary.com/stae/image/fetch/c_limit,e_saturation:-100,f_png,h_600,w_1360/https://flaglane.com/download/maine-flag/maine-flag-large.png","37300","",""
"ne","2018-11-10T14:43:34.404Z","2019-01-29T20:23:55.821Z","Nebraska","State of Nebraska","usa-ne-nebraska-state","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_512,w_640/https://flaglane.com/download/nebraska-flag/nebraska-flag-large.png","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_1024,w_1280/https://flaglane.com/download/nebraska-flag/nebraska-flag-large.png","https://res.cloudinary.com/stae/image/fetch/c_limit,e_saturation:-100,f_png,h_600,w_1360/https://flaglane.com/download/nebraska-flag/nebraska-flag-large.png","49249","",""
"wa","2018-11-10T14:43:34.448Z","2019-01-29T20:23:56.754Z","Washington","State of Washington","usa-wa-washington-state","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_512,w_640/https://flaglane.com/download/washington-flag/washington-flag-large.png","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_1024,w_1280/https://flaglane.com/download/washington-flag/washington-flag-large.png","https://res.cloudinary.com/stae/image/fetch/c_limit,e_saturation:-100,f_png,h_600,w_1360/https://flaglane.com/download/washington-flag/washington-flag-large.png","3268035","",""
"lou-ky","2018-07-26T21:35:01.519Z","2019-01-29T20:23:58.406Z","Louisville","Louisville, KY","usa-ky-louisville-city","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_512,w_640/https://i.imgur.com/Z7gMZKt.png","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_1024,w_1280/https://i.imgur.com/Z7gMZKt.png","https://res.cloudinary.com/stae/image/fetch/c_limit,e_saturation:-100,f_png,h_600,w_1360/https://i.imgur.com/Z7gMZKt.png","1963586","",""
"az","2018-07-26T21:35:01.651Z","2019-01-29T20:23:54.592Z","Arizona","State of Arizona","usa-az-arizona-state","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_512,w_640/https://flaglane.com/download/arizona-flag/arizona-flag-large.png","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_1024,w_1280/https://flaglane.com/download/arizona-flag/arizona-flag-large.png","https://res.cloudinary.com/stae/image/fetch/c_limit,e_saturation:-100,f_png,h_600,w_1360/https://flaglane.com/download/arizona-flag/arizona-flag-large.png","844663","",""
"port-or","2018-07-26T21:35:01.520Z","2019-01-29T20:23:57.149Z","Portland","Portland, OR","usa-or-portland-city","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_512,w_640/https://i.imgur.com/COoaOnl.jpg","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_1024,w_1280/https://i.imgur.com/COoaOnl.jpg","https://res.cloudinary.com/stae/image/fetch/c_limit,e_saturation:-100,f_png,h_600,w_1360/https://i.imgur.com/COoaOnl.jpg","541291","",""
"bing-ny","2018-12-12T16:26:12.154Z","2019-01-29T20:23:57.689Z","Binghamton","Binghamton, NY","usa-ny-binghamton-city","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_512,w_640/https://i.imgur.com/Mx55wHw.jpg","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_1024,w_1280/https://i.imgur.com/Mx55wHw.jpg","https://res.cloudinary.com/stae/image/fetch/c_limit,e_saturation:-100,f_png,h_600,w_1360/https://i.imgur.com/Mx55wHw.jpg","746","",""
"cal-ca","2018-11-26T23:01:35.092Z","2019-01-29T20:24:02.446Z","Calgary","Calgary, AB","can-ab-calgary-city","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_512,w_640/https://i.imgur.com/s8aZvqb.jpg","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_1024,w_1280/https://i.imgur.com/s8aZvqb.jpg","https://res.cloudinary.com/stae/image/fetch/c_limit,e_saturation:-100,f_png,h_600,w_1360/https://i.imgur.com/s8aZvqb.jpg","13283","",""
"alny-pa","2019-01-22T20:15:35.848Z","2019-01-29T20:24:02.835Z","Allegheny County","Allegheny County, PA","usa-pa-allegheny-county","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_512,w_640/https://media1.fdncms.com/pittsburgh/imager/u/original/1946465/seal_of_allegheny_county_pennsylvania.svg.png","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_1024,w_1280/https://media1.fdncms.com/pittsburgh/imager/u/original/1946465/seal_of_allegheny_county_pennsylvania.svg.png","https://res.cloudinary.com/stae/image/fetch/c_limit,e_saturation:-100,f_png,h_600,w_1360/https://media1.fdncms.com/pittsburgh/imager/u/original/1946465/seal_of_allegheny_county_pennsylvania.svg.png","495626","",""
"chi-il","2018-07-26T21:35:01.546Z","2019-01-29T20:23:57.377Z","Chicago","Chicago, IL","usa-il-chicago-city","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_512,w_640/https://i.imgur.com/6WpY3vy.jpg","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_1024,w_1280/https://i.imgur.com/6WpY3vy.jpg","https://res.cloudinary.com/stae/image/fetch/c_limit,e_saturation:-100,f_png,h_600,w_1360/https://i.imgur.com/6WpY3vy.jpg","12337415","",""
"roch-ny","2018-12-12T16:26:12.163Z","2019-01-29T20:23:57.601Z","Rochester","Rochester, NY","usa-ny-rochester-city","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_512,w_640/https://imgur.com/cTyGlVp.jpg","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_1024,w_1280/https://imgur.com/cTyGlVp.jpg","https://res.cloudinary.com/stae/image/fetch/c_limit,e_saturation:-100,f_png,h_600,w_1360/https://imgur.com/cTyGlVp.jpg","2953","",""
"car-nc","2018-11-10T14:43:34.533Z","2019-01-29T20:23:59.927Z","Cary","Cary, NC","usa-nc-cary-city","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_512,w_640/https://i.imgur.com/Z1WPDGb.jpg","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_1024,w_1280/https://i.imgur.com/Z1WPDGb.jpg","https://res.cloudinary.com/stae/image/fetch/c_limit,e_saturation:-100,f_png,h_600,w_1360/https://i.imgur.com/Z1WPDGb.jpg","1786","",""
"mn","2018-11-10T14:43:34.393Z","2019-01-29T20:23:55.617Z","Minnesota","State of Minnesota","usa-mn-minnesota-state","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_512,w_640/https://flaglane.com/download/minnesota-flag/minnesota-flag-large.png","https://res.cloudinary.com/stae/image/fetch/c_limit,f_png,h_1024,w_1280/https://flaglane.com/download/minnesota-flag/minnesota-flag-large.png","https://res.cloudinary.com/stae/image/fetch/c_limit,e_saturation:-100,f_png,h_600,w_1360/https://flaglane.com/download/minnesota-flag/minnesota-flag-large.png","111064","",""
